28.5,2701,5.15203,23.3879,-3.81887,-1.19007,-1.99838,0.0804227,0,11,FALSE
29,2701,3.2426,22.7929,-3.89061,-0.929068,-1.99844,0.0790463,0,11,FALSE
29.5,2701,1.2973,22.3284,-3.93437,-0.721617,-1.99897,0.0643188,0,11,FALSE
30,2701,-0.669887,21.9676,-3.96009,-0.563639,-1.99963,0.0386694,0,11,FALSE
30.5,2701,-2.64993,21.6857,-3.97461,-0.449974,-2,0.00419545,0,11,FALSE
31,2701,-4.63724,21.4608,-3.98237,-0.375152,-1.99965,-0.0372691,0,11,FALSE
31.5,2701,-6.62842,21.2732,-3.98605,-0.33383,-1.99823,-0.0840902,0,11,FALSE
32,2701,-8.62144,21.1063,-3.9871,-0.320987,-1.99545,-0.134791,0,11,FALSE
32.5,2701,-10.615,20.9458,-3.9862,-0.332003,-1.99114,-0.188022,0,11,FALSE
33,2701,-12.6081,20.7798,-3.98353,-0.362668,-1.98524,-0.242557,0,11,FALSE
33.5,2701,-14.5999,20.5984,-3.97902,-0.409159,-1.97778,-0.297283,0,11,FALSE
34,2701,-16.5894,20.3939,-3.97253,-0.46802,-1.96892,-0.351219,0,11,FALSE
34.5,2701,-18.5756,20.1598,-3.96391,-0.53614,-1.95887,-0.403518,0,11,FALSE
35,2701,-20.5576,19.8918,-3.9531,-0.610737,-1.94791,-0.453477,0,11,FALSE
35.5,2701,-22.5341,19.5864,-3.9376,-0.703807,-1.92681,-0.536083,0,11,FALSE
36,2701,-24.5029,19.2345,-3.91034,-0.842173,-1.87626,-0.692566,0,11,FALSE
36.5,2701,-26.4581,18.8134,-3.86005,-1.04881,-1.77443,-0.922718,0,11,FALSE
37,2701,-28.3881,18.289,-3.75887,-1.36782,-1.54256,-1.27299,0,11,FALSE
37.5,2701,-30.2676,17.6051,-3.5356,-1.8707,-0.964236,-1.75221,0,11,FALSE
38,2701,-32.0354,16.6698,-3.07424,-2.55911,0.18432,-1.99149,0,11,FALSE
38.5,2701,-33.5725,15.3902,-2.36966,-3.22254,1.21881,-1.58572,0,11,FALSE
39,2701,-34.7573,13.7789,-1.50364,-3.70663,1.69259,-1.06543,0,11,FALSE
39.5,2701,-35.5091,11.9256,-0.546682,-3.96247,1.89716,-0.633081,0,11,FALSE
40,2701,-35.7825,9.94438,0.406655,-3.97927,1.94907,-0.44847,0,11,FALSE
40.5,2701,-35.5791,7.95474,1.28759,-3.7871,1.98245,-0.264406,0,11,FALSE
41,2701,-34.9353,6.0612,2.04836,-3.43573,1.9977,-0.0959213,0,11,FALSE
41.5,2701,-33.9112,4.34333,2.66475,-2.98314,1.99945,0.0468974,0,11,FALSE
42,2701,-32.5788,2.85176,3.1343,-2.48518,1.99361,0.159801,0,11,FALSE
42.5,2701,-31.0116,1.60917,3.471,-1.98801,1.98518,0.243013,0,11,FALSE
43,2701,-29.2761,0.615165,3.69812,-1.52444,1.97749,0.299246,0,11,FALSE
43.5,2701,-27.4271,-0.147053,3.84173,-1.11405,1.97223,0.332149,0,11,FALSE
44,2701,-25.5062,-0.704076,3.92603,-0.76569,1.96995,0.345399,0,11,FALSE
44.5,2701,-23.5432,-1.08692,3.97101,-0.480715,1.97049,0.342301,0,11,FALSE
45,2701,-21.5577,-1.32728,3.9918,-0.255945,1.9733,0.325683,0,11,FALSE
45.5,2701,-19.5618,-1.45525,3.99908,-0.0858971,1.97769,0.297929,0,11,FALSE
46,2701,-17.5623,-1.4982,3.99984,0.035775,1.98289,0.261066,0,11,FALSE
46.5,2701,-15.5623,-1.48031,3.99833,0.115453,1.98821,0.216853,0,11,FALSE
47,2701,-13.5632,-1.42259,3.99683,0.159146,1.99303,0.166864,0,11,FALSE
47.5,2701,-11.5648,-1.34301,3.99629,0.172335,1.99683,0.112537,0,11,FALSE
48,2701,-9.56661,-1.25684,3.9968,0.159956,1.99924,0.0552126,0,11,FALSE
48.5,2701,-7.56821,-1.17687,3.998,0.126441,2,-0.0038554,0,11,FALSE
49,2701,-5.56921,-1.11365,3.99928,0.0757766,1.99899,-0.0635008,0,11,FALSE
49.5,2701,-3.56957,-1.07576,3.99998,0.0115638,1.99624,-0.122659,0,11,FALSE
50,2701,-1.56958,-1.06998,3.9995,-0.062945,1.99185,-0.180381,0,11,FALSE
50.5,2701,0.430174,-1.10145,3.99738,-0.144819,1.98604,-0.235853,0,11,FALSE
